mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.08751387596130371,0.0032556642860915187,0.0015822410583496093,0.0004815347449528394,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9493521824321911,0.9137392603384542,0.9339809798643477,0.9229125136599386,0.8878307449376335,0.921563136246513,0.02062688539295589,1,-3.6590535471426984,-4.778983187829239,-4.3980907772749065,-4.518200687406207,-5.83351484130716,-4.637568608192042,0.7041840004643837,1
0.10288715362548828,0.00754312394917614,0.0022971630096435547,0.0003676339345379273,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9485040096843633,0.9105970581375183,0.9323845330501959,0.9236339793598316,0.8885885534659591,0.9207416267395736,0.020255395680515455,2,-3.689564476374316,-4.865246161734788,-4.450949611540477,-4.497007950008923,-5.813776014053695,-4.66330884274244,0.6906929729049008,2
0.17177128791809082,0.010884020024061912,0.002115631103515625,0.00037266740060209704,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9236529495952598,0.9127965496713963,0.9244815036531451,0.9206481692857568,0.8839157266466752,0.9130989797704465,0.015163720639686448,3,-4.492463202833478,-4.805026068704652,-4.70388092069518,-4.5840785459370155,-5.934444640591694,-4.903978675752404,0.5259984623970392,3
0.08295073509216308,0.006574892348592228,0.0010555744171142577,5.844195268260591e-05,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9232166161716336,0.9105311182848993,0.9261483999417218,0.9215013711236878,0.8809116424741935,0.9124618295992273,0.01663636322478221,4,-4.505282421762864,-4.867040031574657,-4.651677595881354,-4.5593676199325985,-6.010741376490498,-4.918821809128394,0.5597424164344369,4
0.11438169479370117,0.006679528651406117,0.0016947269439697265,0.0008349982111384853,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9232163263940538,0.9105304741743746,0.9261474301552133,0.9215014153477455,0.8809119740252136,0.9124615240193202,0.01663606019731888,5,-4.505290923137378,-4.867057551107739,-4.651708137666242,-4.559366335618665,-6.010733009304723,-4.91883119136695,0.559734821433403,5
0.0946619987487793,0.006275786677849428,0.001661205291748047,0.0005305285936374774,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9233182105519251,0.9100847408402444,0.9248846838288007,0.9200074526635988,0.881307857968949,0.9119205891707036,0.016148563622377283,6,-4.502300898573992,-4.879166224439535,-4.691307513555927,-4.602548128219496,-6.00073396218096,-4.9352113453939825,0.5469999730675345,6
0.03669342994689941,0.003716211789733704,0.00140533447265625,0.0004965935553256295,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9382510777383373,0.9017035681179132,0.9257109306219251,0.9128581637915502,0.8762180992268142,0.910948367899308,0.021254065155189208,7,-4.040202080753162,-5.1014988198455855,-4.665434654156538,-4.8038222409133455,-6.128045242427192,-4.947800607619165,0.6842215907377088,7
0.03831281661987305,0.0027961702114223056,0.0013585090637207031,0.000429086150085802,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.938077656405691,0.9009939804637382,0.9264335090654832,0.9128581637915502,0.8762180992268142,0.9109162817906553,0.021376208531159846,8,-4.045871539793662,-5.11987919741044,-4.642689854215065,-4.8038222409133455,-6.128045242427192,-4.948061614951941,0.6855489017924574,8
0.04854416847229004,0.0025459340528151907,0.0015495777130126952,0.000581114435110608,0.1,0.1,6,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9194553304290607,0.9053259828984099,0.9251380719074975,0.915782224344973,0.8768660523313688,0.908513532382262,0.017091843710118067,9,-4.61431032925166,-5.006616384801319,-4.683388186065624,-4.722537970282017,-6.111985156772592,-5.027767605434643,0.5583340051711944,9
0.05560908317565918,0.006798571033455624,0.0015801429748535157,0.00034326905916792896,0.01,0.1,6,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9193808650685174,0.9057292917856481,0.9246126065077845,0.9128796886831944,0.8765806959774668,0.9078366296045222,0.016861254271018408,10,-4.616442853370953,-4.995940974660747,-4.699796092944128,-4.803228908572564,-6.119063158170718,-5.046894397543822,0.5508685393122587,10
0.2587597370147705,0.022684165526304045,0.0025414943695068358,0.0005950099592478919,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9140963216696691,0.8920010552811677,0.915260004006147,0.9037698992337381,0.872031975877703,0.899431851213685,0.01606465481620015,11,-4.765344222341894,-5.347350724903364,-4.982804769740424,-5.048112738439075,-6.230804450661019,-5.274883381217156,0.512913560172297,12
